cornerstone_investor,stock_code,company_name
Sage Partners Master Fund,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Samson Group Limited,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
Sanhua (Hong Kong) Co Limited,09927,"Seres Group Co., Ltd. - H shares"
Sanhua International Singapore,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
"Sanjin International Co., Ltd.",02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
SCC Foresight Ventures Ltd.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Scene Cloud Global Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
SCGC Capital Holding Company Limited,02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
SCGC Capital Holding Company Limited,03355,FS.COM Ltd. - H Shares
Schonfeld,07618,"JINGDONG Industrials, Inc."
Schonfeld Strategic Advisors (Hong Kong) Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
Schroder Investment Management (Hong Kong) Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Schroder Investment Management (Hong Kong) Limited,02259,Zijin Gold International Company Limited
Schroder Investment Management (Hong Kong) Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Schroder Investment Management (Hong Kong) Limited,09927,"Seres Group Co., Ltd. - H shares"
Schroder Investment Management (Singapore) Ltd,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Schroder Investment Management (Singapore) Ltd,02259,Zijin Gold International Company Limited
Schroder Investment Management (Singapore) Ltd,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Schroder Investment Management (Singapore) Ltd,09927,"Seres Group Co., Ltd. - H shares"
Schroder Investment Management Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Schroder Investment Management Limited,02259,Zijin Gold International Company Limited
Schroders,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Schroders,03696,InSilico Medicine Cayman TopCo
SCV Alpha LP,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
SDG Asset Management (HK) Limited,02631,"SICC CO., LTD. - H shares"
SensePower,09678,"Unisound AI Technology Co., Ltd. - H shares"
Seraphim Advantage Inc.,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
"Shaanxi Fast Auto Drive Group Co., Ltd.",06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Shanghai Gaoyi and CICC FT,03296,"Huaqin Co., Ltd. - H Shares"
Shanghai Gaoyi and CITIC Securities International Capital Management Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Shanghai Gaoyi and Huatai Capital Investment Limited (in connection with Gaoyi OTC Swaps),02579,"CNGR Advanced Material Co., Ltd. - H shares"
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),02259,Zijin Gold International Company Limited
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),02714,"Muyuan Foods Co., Ltd. - H shares"
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),03750,"Contemporary Amperex Technology Co., Limited - H shares"
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Shanghai Greenwoods and CICC Financial Trading Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Shanghai Greenwoods and CICC FT (in connection with Greenwoods OTC Swaps),01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Shanghai Greenwoods and CITIC Securities International Capital Management Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Shanghai Greenwoods and Huatai Capital Investment Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
"Shanghai Greenwoods Asset Management Co., Ltd",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd",02259,Zijin Gold International Company Limited
"Shanghai Greenwoods Asset Management Co., Ltd",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd and CICC Financial Trading Limited (in connection with Greenwoods OTC Swaps)",09973,"Chery Automobile Co., Ltd. - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd.",02648,"Anjoy Foods Group Co., Ltd. - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"Shanghai Greenwoods Asset Management Co., Ltd.",03986,GigaDevice Semiconductor Inc. - H shares
"Shanghai Greenwoods Asset Management Co., Ltd. and CICC Financial Trading Limited",02788,Chuangxin Industries Holdings Limited
Shanghai Haitong Zhida Private Equity Investment Fund Partnership (Limited Partnership),06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Shanghai Intewise Capital Investment Limited ultimate clients and CICC Financial Trading Limited (in connection with Shanghai Intewise OTC Swaps),03355,FS.COM Ltd. - H Shares
"Shanghai Lujiazui (Group) Co., Ltd.",06656,"Sigenergy Technology Co., Ltd. - H Shares"
Shanghai Pinpoint and CICC Financial Trading Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
"Shanghai Tongyi Investment Management Co., Ltd. and Huatai Capital Investment Limited",06090,BUTONG GROUP
Shen Zhen New World Investment (H.K) Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
"Shenwan Hongyuan Securities Co., Ltd.",02768,"Qingdao Gon Technology Co., Ltd. - H shares"
"Shenzhen Gaodeng Computer Technology Co., Ltd.",02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
"Shenzhen Kaifeng Investment Management Co., Ltd., Changdu Kaifeng Investment Management Co., Ltd. and CICC FT (in connection with the Kaifeng OTC Swaps)",03355,FS.COM Ltd. - H Shares
"Shenzhen Lin Yuan Investment Management Co., Ltd.",09927,"Seres Group Co., Ltd. - H shares"
"Shenzhen Luohu Investment Holding Co., Ltd.",06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
Shenzhen Yongxin Industrial Investment Partnership Enterprise (Limited Partnership) and Guotai Junan Investments (Hong Kong) Limited (in connection with Shenzhen Yongxin OTC Swaps),02580,"AUX ELECTRIC CO., LTD."
Shining Light Grace Limited,03887,HashKey Holdings Limited
Shrewd Pioneer Limited,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
Sino Top Trading Limited,02589,"Auntea Jenny (Shanghai) Industrial Co., Ltd. - H shares"
Sino Top Trading Limited,06831,Green Tea Group Limited
Sinochem Hong Kong (Group) Company Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Sinohsc Honest Limited,02617,"TransThera Sciences (Nanjing), Inc. - B - H shares"
SinoMedia Holding Limited,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Sinopec (Hong Kong) Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Sinos Group Limited,09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
Sky Royal Trading Limited,03986,GigaDevice Semiconductor Inc. - H shares
SKY ROYAL TRADING LIMITED,00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
"Skyler International Co., Ltd",09927,"Seres Group Co., Ltd. - H shares"
SLD International Enterprises Limited,02768,"Qingdao Gon Technology Co., Ltd. - H shares"
Smart Ventures Limited,02889,PATEO CONNECT Technology (Shanghai) Corporation - H shares
Southeast Investment Holding,03677,"Jiangsu Zenergy Battery Technologies Group Co., Ltd.- H shares"
Space Z PTE. LTD.,03887,HashKey Holdings Limited
Sparky International Company Limited,02259,Zijin Gold International Company Limited
Sparky International Company Limited,02546,"Xizang Zhihui Mining Co., Ltd. - H shares"
Sparky International Company Limited,06693,"Chifeng Jilong Gold Mining Co., Ltd. - H shares"
Splendid Biotech Fund L.P.,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
"Splendid Zhonghe (Tianjin) Investment Management Co., Ltd.",02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
Springs Capital,01768,"BUSY MING GROUP CO., LTD.- H shares"
Springs Capital (Hong Kong) Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
SR Wealth Securities Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
SS Morgan Capital Limited,02508,SAINT BELLA Inc.
Stoneylake Global Alpha Fund,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
Stoneylake Global Alpha Fund,06687,JST Group Corporation Limited
Streamax Electronics Limited,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
Summit Ridge Capital SP,03986,GigaDevice Semiconductor Inc. - H shares
Sunshine Life Insurance Corporation Limited,00068,Manycore Tech Inc.
Sunshine Life Insurance Corporation Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Sunwoda Treasury (Hong Kong) Limited,02701,Nsing Technologies Inc. - H Shares
Sunwoda Treasury (Hong Kong) Limited,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
Sunwoda Treasury Hong Kong) Limited,02579,"CNGR Advanced Material Co., Ltd. - H shares"
Supercluster Universe Limited,03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
"Suzhou Harvest International Co., Limited",02561,VISEN Pharmaceuticals -B
Suzhou High-end Equipment Fund,03677,"Jiangsu Zenergy Battery Technologies Group Co., Ltd.- H shares"
Suzhou Suchuang Biomedical Health Venture Capital Fund Partnership,09606,"Duality Biotherapeutics, Inc. - B"
Suzhou Zhanxingtou Industrial Fund Partnership (Limited Partnership),02581,BenQ BM Holding Cayman Corp.
SynerSuccess Capital Ltd.,02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
"T&D United Capital Co., Ltd.",01828,FWD Group Holdings Limited
Taibai Investments Pte. Ltd.,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Taibai Investments PTE. LTD.,03696,InSilico Medicine Cayman TopCo
Taihu Golden Valley,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Taikang Life,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Taikang Life,01768,"BUSY MING GROUP CO., LTD.- H shares"
Taikang Life,03296,"Huaqin Co., Ltd. - H Shares"
Taikang Life,03696,InSilico Medicine Cayman TopCo
"Taikang Life Insurance Co., Ltd",00068,Manycore Tech Inc.
"Taikang Life Insurance Co., Ltd",00100,MiniMax Group Inc. - W - P
"Taikang Life Insurance Co., Ltd",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"Taikang Life Insurance Co., Ltd",02259,Zijin Gold International Company Limited
"Taikang Life Insurance Co., Ltd",02525,Hesai Group - W
"Taikang Life Insurance Co., Ltd",03986,GigaDevice Semiconductor Inc. - H shares
"Taikang Life Insurance Co., Ltd",06082,"Shanghai Biren Technology Co., Ltd.- H shares"
"Taikang Life Insurance Co., Ltd",06166,"CIG SHANGHAI CO., LTD. - H shares"
"Taikang Life Insurance Co., Ltd",06809,"Montage Technology Co., Ltd. - H shares"
"Taikang Life Insurance Co., Ltd",09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
"Taikang Life Insurance Co., Ltd.",02788,Chuangxin Industries Holdings Limited
"Taikang Life Insurance Co., Ltd.",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"Taikang Life Insurance Co., Ltd.",06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
"Taller industrial Co., Limited",02621,Shouhui Group Ltd.
Tanwan Inc.,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Tasly (Hong Kong) Pharmaceutical Investment Limited,06681,BrainAurora Medical Technology Limited - B
Tasly (International) Healthcare Investment & Development Enterprise Management Partnership (Limited Partnership),06681,BrainAurora Medical Technology Limited - B
Teamsun Technology (HK) Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Tekful Limited,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Temasek,01768,"BUSY MING GROUP CO., LTD.- H shares"
Temasek,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
"Tenbagger Capital (Shanghai, Ziran), LP",06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
"Tenbagger Capital Nengxin, LP",06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Tencent,01768,"BUSY MING GROUP CO., LTD.- H shares"
Tencent,03696,InSilico Medicine Cayman TopCo
Tessy Holding Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
"TFI Investment Fund SPC (acting for and on behalf of its segregated portfolio, TFI Lakeside SP)",03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
The Biotech Growth Trust PLC,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
The Biotech Growth Trust PLC,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
The Reynold Lemkins Group (Asia) Limited,02573,"Newtrend Group Holding Co., Ltd. - H shares"
The Reynold Lemkins Group (Asia) Limited,02592,Cloudbreak Pharma Inc. - B
"Tianhong Asset Management Co., Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
"Tibet Longrising Asset Management Co., Ltd.",03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
"Tibet Longrising Asset Management Co., Ltd. and CICC Financial Trading Limited (in connection with Tibet Longrising OTC Swaps)",02580,"AUX ELECTRIC CO., LTD."
Timber Kangaroo Capital Limited,02603,"Xiamen Jihong Co., Ltd - H shares"
"Tiny Jade Holdings Co., Limited",02671,"USAS Building System (Shanghai) Co., Ltd. - H shares"
Tongzhou International Development Limited,02597,"Beijing Xunzhong Communication Technology Co., Ltd. - H shares"
Top Legend SPC for and on behalf of Ocean One SP,02625,Jiangsu Horizon Chain Supermarket Company Limited - H shares
Topstar Worldwide,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Torus,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Treasure-stone Investment Group Limited,02718,Mininglamp Technology - W
Tropical Terrain Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Tropical Terrain Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
True Light Investments H Pte. Ltd.,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
TruMed Health Innovation Fund LP,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
TruMed Health Innovation Fund LP,02698,Softcare Limited
TruMed Health Innovation Fund LP,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
TruMed Healthcare Master Fund,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
TruMed Healthcare Master Fund,02698,Softcare Limited
TruMed Healthcare Master Fund,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
"TruMed Healthcare Master Fund, ABS Direct Equity Fund LLC Asia Series 11 and TruMed Health Innovation Fund LP",09606,"Duality Biotherapeutics, Inc. - B"
Turing International Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
"TURQUOISE HIME, L.P.",02788,Chuangxin Industries Holdings Limited
UBS AM,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
UBS AM Singapore,03296,"Huaqin Co., Ltd. - H Shares"
UBS Asset Management (Singapore) Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
UBS Asset Management (Singapore) Ltd.,00325,Bloks Group Limited
UBS Asset Management (Singapore) Ltd.,00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
UBS Asset Management (Singapore) Ltd.,01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
UBS Asset Management (Singapore) Ltd.,01989,Delton Technology (Guangzhou) Inc. - H Shares
UBS Asset Management (Singapore) Ltd.,02259,Zijin Gold International Company Limited
UBS Asset Management (Singapore) Ltd.,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
UBS Asset Management (Singapore) Ltd.,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
UBS Asset Management (Singapore) Ltd.,02714,"Muyuan Foods Co., Ltd. - H shares"
UBS Asset Management (Singapore) Ltd.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
UBS Asset Management (Singapore) Ltd.,03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
UBS Asset Management (Singapore) Ltd.,03696,InSilico Medicine Cayman TopCo
UBS Asset Management (Singapore) Ltd.,03887,HashKey Holdings Limited
UBS Asset Management (Singapore) Ltd.,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
UBS Asset Management (Singapore) Ltd.,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
UBS Asset Management (Singapore) Ltd.,06603,IFBH Limited
UBS Asset Management (Singapore) Ltd.,06613,"Lens Technology Co., Ltd. - H shares"
UBS Asset Management (Singapore) Ltd.,06656,"Sigenergy Technology Co., Ltd. - H Shares"
UBS Asset Management (Singapore) Ltd.,06809,"Montage Technology Co., Ltd. - H shares"
UBS Asset Management (Singapore) Ltd.,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
UBS Asset Management (Singapore) Ltd.,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
"Valin Group Hongkong International Trade Co., Limited",02580,"AUX ELECTRIC CO., LTD."
Valliance Asset Management Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
Value Partners Hong Kong Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Value Partners Hong Kong Limited and Value Partners Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Value Partners Hong Kong Limited and Value Partners Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Value Partners Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Vandi Investments Limited,00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
"VEKEN (HONGKONG) ECONOMIC AND TRADE CO., LIMITED",02543,"DAHON TECH (SHENZHEN) CO., LTD. - H shares"
Velmar Company Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Vered Holdings (Hong Kong) Limited,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Verition Multi-Strategy Master Fund Ltd.,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Verition Multi-Strategy Master Fund Ltd.,06613,"Lens Technology Co., Ltd. - H shares"
Virtues Capital and China Securities International Investment Company Limited,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
"Vivo Opportunity Caymen Fund, L.P.",02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
"Vivo Opportunity Fund Holdings, L.P.",02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
Vivo Plenilune IX Limited,02561,VISEN Pharmaceuticals -B
Voyage42 Master Fund,03277,Gpixel Changchun Microelectronics Inc. - H Shares
VVC Technology,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
VVC Technology Fund Ltd.,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
W Investment,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Wang Qianqing / 汪牽擎,02508,SAINT BELLA Inc.
Wealth Strategy Holding Limited,02592,Cloudbreak Pharma Inc. - B
Wealth Strategy Holdings Limited,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
"Weichai Power Hong Kong International Development Co., Ltd.",06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Welight Capital L.P.,03880,Medtide Inc. - H shares
Wider Huge Group Limited,03355,FS.COM Ltd. - H Shares
Wildlife Willow Limited,00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
WILL semiconductor Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
WILL semiconductor Limited,09611,"Shanghai Longcheer Technology Co., Ltd.- H shares"
WILL Semiconductor Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Wilmar – HPRY Holdings Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Wilmar – Wii Pte Ltd,02714,"Muyuan Foods Co., Ltd. - H shares"
Wind Sabre,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Wind Sabre Fund SPC,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Wind Sabre Fund SPC acting on behalf and for the account of Wind Sabre Opportunities Fund SP,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Wind Sabre Fund SPC on behalf of Wind Sabre Opportunities Fund SP,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Wind Sabre Fund SPC on behalf of Wind Sabre Opportunities Fund SP,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Wind Sabre Fund SPC on behalf of Wind Sabre Opportunities Fund SP,03986,GigaDevice Semiconductor Inc. - H shares
Wind Sabre Fund SPC on behalf of Wind Sabre Opportunities Fund SP,06600,"OneRobotics (Shenzhen) Co., Ltd.- H shares"
Worldwide Healthcare Partners LLC,09606,"Duality Biotherapeutics, Inc. - B"
WT Asset Management Limited,02525,Hesai Group - W
WT Asset Management Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
WT Asset Management Limited,03355,FS.COM Ltd. - H Shares
WT Asset Management Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
WT Asset Management Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
WT Asset Management Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
WT Asset Management Limited,06687,JST Group Corporation Limited
Wu Xinghua,02671,"USAS Building System (Shanghai) Co., Ltd. - H shares"
"Wuhu Artec Biotechnology Co., Ltd.",02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
WuXi Biologics HealthCare Venture,02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
WuXi Biologics HealthCare Venture,02561,VISEN Pharmaceuticals -B
"Wuxi Hexiang Food Co., Ltd.",06831,Green Tea Group Limited
Wuxi Jinchou and GTHT (in connection with Wuxi Jinchou OTC Swaps),00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
"Wuxi Lvlian Food Co., Ltd.",06831,Green Tea Group Limited
"Wuxi Qinyu Food Co., Ltd.",06831,Green Tea Group Limited
"Wuxi Zixian Food Co., Ltd.",06831,Green Tea Group Limited
Xiamen Advanced Intelligent Manufacturing Industry Investment Limited,02726,"Epiworld International Co., Ltd. - H Shares"
Xin Ma Apparel International Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
Xingyu Automotive Lighting (Hong Kong) Company Limited,09927,"Seres Group Co., Ltd. - H shares"
Xingyu Automotive Lighting (Hong Kong) Company Limited,09973,"Chery Automobile Co., Ltd. - H shares"
"XINWUTANG CO., LIMITED",06810,"Shanghai Sunmi Technology Co., Ltd. - W - H Shares"
Xiongan Intelligent Robot Limited,02590,"Beijing Geekplus Technology Co., Ltd. - W - H shares"
XN Mountain International Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Ye Guofu,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Yeebo Alpha Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Yield Royal Investment Holding (Singapore) PTE. LTD.,02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
Yield Royal Investment Holding (Singapore) PTE. LTD.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Yield Royal Investment Holding (Singapore) PTE. LTD.,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Yingke No. 1 (Hongkong) Limited,02632,"Jiangsu New Vision Automotive Electronics Co., Ltd. - H Shares"
Yizekangrui Medical Limited,02565,"PegBio Co., Ltd. - B - H shares"
Yong Rong (HK) Asset Management Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Yongcheng No. 2 Hong Kong Limited,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
York House Investment Limited,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
YStem Holding Limited,03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
Yuanfeng Asset Management and GTINV,01989,Delton Technology (Guangzhou) Inc. - H Shares
Yulong International Capital Limited,02603,"Xiamen Jihong Co., Ltd - H shares"
Yunfeng Capital New Alternative Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Yunfeng Investments Limited,06809,"Montage Technology Co., Ltd. - H shares"
Zenith Hop International Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Zeta Wisdom OFC,02408,"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares"
Zeyuanli Wangtian No.22 Private Equity Securities Investment Fund,02635,"Nuobikan Artificial Intelligence Technology (Chengdu) Co., Ltd. - H shares"
Zhengjin International,06636,"Shandong Extreme Vision Technology Co., Ltd. - H Shares"
Zhengxin Group Investment Limited,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
Zhengxin Group Investment Limited,03858,Jiaxin International Resources Investment Limited
Zhink International Pte. Ltd.,09927,"Seres Group Co., Ltd. - H shares"
Zhongsheng Holdings Company Limited,09927,"Seres Group Co., Ltd. - H shares"
"Zhuhai Gokin New Energy Investment Co., Ltd",02865,"Hainan Drinda New Energy Technology Co., Ltd. - H shares"
ZTE (H.K.) Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
ZTE HK,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
